GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
201404090005,2014-04-09,"Pakistan","Islamabad","United Baloch Army (UBA)",-9,21,46,Private Citizens & Property,South Asia,,,,Bombing/Explosion,Explosives/Bombs/Dynamite
201403140027,2014-03-14,"Pakistan","Saraband","Tehrik-i-Taliban Pakistan (TTP)",-9,,,,,13,50,Police,Private Citizens & Property,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201401210002,2014-01-21,"Pakistan","Mastung district","Lashkar-e-Jhangvi",-9,"Tehrik-i-Taliban Pakistan (TTP)",0,,,30,31,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201308080011,2013-08-08,"Pakistan","Quetta","Tehrik-i-Taliban Pakistan (TTP)",-9,,,,,39,50,Police,Private Citizens & Property,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201306300001,2013-06-30,"Pakistan","Badaber","Tehrik-i-Taliban Pakistan (TTP)",-9,,,,,20,50,Military,Private Citizens & Property,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201306180001,2013-06-18,"Pakistan","Mardan","Unknown",-9,,,,,35,43,Government (General),Private Citizens & Property,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201305120011,2013-05-12,"Pakistan","Quetta","Lashkar-e-Jhangvi",-9,"Islamic Movement of Uzbekistan (IMU)",0,"Tehrik-i-Taliban Pakistan (TTP)",1,11,76,Police,,,South Asia,Assassination,,,Explosives/Bombs/Dynamite,,,
201305070004,2013-05-06,"Pakistan","Parachinar","Tehrik-i-Taliban Pakistan (TTP)",-9,,,,,23,70,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201304290001,2013-04-29,"Pakistan","Peshawar","Unknown",-9,,,,,9,43,Police,Government (Diplomatic),Government (General),South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201304260001,2013-04-26,"Pakistan","Karachi","Tehrik-i-Taliban Pakistan (TTP)",-9,,,,,11,40,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201304160003,2013-04-16,"Pakistan","Peshawar","Tehrik-i-Taliban Pakistan (TTP)",-9,,,,,18,60,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
